gsc_col-xs-12 src,assured,photoNumber,imageTransition src,views,imageTransition src 2,model_year,company,model,variant,distance_covered,type,gear,price,emitextCard,emitextCard 2,emitextCard 3,place
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,103,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2020,Maruti,XL6,,"20,768 kms",Petrol,automatic,"11,00,000",EMI,@,"? 22,273",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,103,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Renault,KWID,,"32,827 kms",Petrol,manual,"2,88,000",EMI,@,"? 12,263",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,92,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Toyota,Yaris,,"54,959 kms",Petrol,automatic,"8,00,000",EMI,@,"? 16,199",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,67,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Maruti,Wagon,R,"99,735 kms",Petrol,manual,"3,51,500",EMI,@,"? 28,182",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,59,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Honda,Brio,,"46,367 kms",Petrol,automatic,"3,80,000",,,,
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,72,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Maruti,Celerio,,"18,343 kms",Petrol,manual,"3,69,500",,,,
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,73,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Hyundai,i20,,"86,803 kms",Diesel,manual,"4,10,000",,,,
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,115,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Hyundai,Grand,i10,"19,736 kms",Petrol,manual,"3,85,000",EMI,@,"? 30,868",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,52,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Maruti,Ciaz,,"43,023 kms",Petrol,automatic,"7,38,000",EMI,@,"? 22,220",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,99,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Maruti,Celerio,,"16,615 kms",Petrol,automatic,"3,57,500",,,,
