gsc_col-xs-12 src,assured,photoNumber,imageTransition src,views,imageTransition src 2,model_year,company,model,variant,distance_covered,type,gear,price,fixedpriceText,emitextCard,emitextCard 2,emitextCard 3,place
https://images10.gaadicdn.com/usedcar_image/original/VCC_1328271_24_1641801020.jpg,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,172,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2020,Honda,Amaze,,"19,770 kms",Petrol,automatic,"8,75,500",Fixed Price,EMI,@,"? 17,728",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1329886_24_1641904006.jpg,CarDekho Assured,16,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,155,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2012,Maruti,Alto,,"41,545 kms",Petrol,manual,"2,01,000",Fixed Price,,,,New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1256746_24_1634906463.jpg,CarDekho Assured,19,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,454,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2019,Maruti,Celerio,,"38,485 kms",Petrol,manual,"3,96,000",,EMI,@,"? 8,019",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1329881_24_1641903992.jpg,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,428,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2019,Kia,Seltos,,"20,114 kms",Petrol,manual,"10,50,000",,EMI,@,"? 21,261",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1329847_24_1641902091.jpg,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,272,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2019,Hyundai,Creta,,"41,422 kms",Petrol,manual,"12,36,500",Fixed Price,EMI,@,"? 25,037",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1329842_24_1641902537.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,215,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2014,Hyundai,i10,,"87,254 kms",Petrol,manual,"2,80,500",Fixed Price,,,,New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_609_1641454887_2_vcc_image_1324616_24_1641454920.jpg,CarDekho Assured,10,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,260,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2015,Honda,City,,"1,04,291 kms",Petrol,manual,"5,05,000",,EMI,@,"? 40,489",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1329677_24_1641898305.jpg,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,108,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2013,Maruti,Alto,K10,"32,170 kms",Petrol,manual,"2,38,500",Fixed Price,,,,New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1307986_24_1639826626_1329600_24_1641894568.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,80,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2011,Hyundai,i10,,"58,393 kms",Petrol,manual,"2,12,000",Fixed Price,,,,New Delhi
https://cdn.spincar.com/swipetospin-viewers/CarDekhoStudio/2980222/20220115011239.24OKRLBF/closeups/cu-1.jpg,CarDekho Assured,32,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,204,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2019,Tata,Tiago,,"18,962 kms",Petrol,manual,"4,45,000",,EMI,@,"? 9,011",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_IMG_1641894173168_1329564_24_1641894384.jpg,CarDekho Assured,20,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,199,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2013,Maruti,Swift,,"61,430 kms",Petrol,manual,"3,38,000",Fixed Price,,,,New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_VCC_VCC_1301855_24_1639309821_1303291_24_1639465604_1311630_24_1640162041_1329489_24_1641891640.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,137,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2017,Hyundai,Grand,i10,"62,428 kms",Petrol,manual,"4,20,000",,EMI,@,"? 12,646",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1329520_24_1641894085.jpg,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,272,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Datsun,RediGO,,"37,152 kms",Petrol,manual,"2,08,500",Fixed Price,EMI,@,"? 8,878",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_IMG_1641889668830_1329419_24_1641889986.jpg,CarDekho Assured,20,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,308,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Hyundai,Creta,,"35,461 kms",Petrol,manual,"8,78,000",Fixed Price,EMI,@,"? 37,383",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1301586_24_1639298783.jpg,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,253,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2012,Maruti,Swift,,"89,923 kms",Petrol,manual,"3,08,000",Fixed Price,,,,New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_IMG_1641468060387_1325223_24_1641468386.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,123,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2019,Maruti,Alto,K10,"7,990 kms",Petrol,manual,"3,60,000",Fixed Price,EMI,@,"? 7,290",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_IMG_1639633270078_1305154_24_1639633632.jpg,CarDekho Assured,17,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,413,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2015,Maruti,Wagon,R,"27,980 kms",Petrol,manual,"2,80,000",Fixed Price,EMI,@,"? 22,449",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1299509_24_1639122399.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,202,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2015,Honda,Amaze,,"24,916 kms",Petrol,manual,"4,33,000",Fixed Price,EMI,@,"? 34,716",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1329161_24_1641884505_1332639_24_1642161444.jpg,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,82,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2011,Maruti,Zen,Estilo,"49,030 kms",Petrol,manual,"2,17,000",Fixed Price,,,,New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1214599_24_1631087689_1328209_24_1641798153.jpg,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,232,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Maruti,Swift,Dzire,"22,557 kms",Petrol,manual,"5,69,000",,EMI,@,"? 13,612",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1328846_24_1641818166.jpg,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,154,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Renault,KWID,,"33,085 kms",Petrol,automatic,"3,65,000",Fixed Price,EMI,@,"? 8,732",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1328192_24_1641799341.jpg,CarDekho Assured,18,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,147,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Hyundai,Verna,,"73,774 kms",Petrol,manual,"5,50,000",,EMI,@,"? 23,418",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1328869_24_1641819162.jpg,CarDekho Assured,16,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,109,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Maruti,Ciaz,,"64,260 kms",Petrol,manual,"6,58,000",Fixed Price,EMI,@,"? 28,016",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1328785_24_1641815654.jpg,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,84,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Hyundai,Creta,,"93,351 kms",Petrol,manual,"8,76,000",Fixed Price,EMI,@,"? 26,375",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1328767_24_1641814832.jpg,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,237,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Hyundai,i20,,"54,273 kms",Petrol,manual,"6,49,500",Fixed Price,EMI,@,"? 19,556",New Delhi
